🥇,1f947
🥈,1f948
🥉,1f949
🅰️,1f170 fe0f
🆎,1f18e
🧮,1f9ee
🪗,1fa97
🩹,1fa79
🎟️,1f39f fe0f
🚡,1f6a1
✈️,2708 fe0f
🛬,1f6ec
🛫,1f6eb
⏰,23f0
⚗️,2697 fe0f
👽,1f47d
👾,1f47e
🚑,1f691
🏈,1f3c8
🏺,1f3fa
🫀,1fac0
⚓,2693
💢,1f4a2
😠,1f620
👿,1f47f
😧,1f627
🐜,1f41c
📶,1f4f6
😰,1f630
♒,2652
♈,2648
🚛,1f69b
🧑‍🎨,1f9d1 200d 1f3a8
🎨,1f3a8
😲,1f632
🧑‍🚀,1f9d1 200d 1f680
🏧,1f3e7
⚛️,269b fe0f
🛺,1f6fa
🚗,1f697
🥑,1f951
🪓,1fa93
🅱️,1f171 fe0f
👶,1f476
👼,1f47c
🍼,1f37c
🐤,1f424
🚼,1f6bc
🔙,1f519
👇,1f447
👈,1f448
👉,1f449
👆,1f446
🎒,1f392
🥓,1f953
🦡,1f9a1
🏸,1f3f8
🥯,1f96f
🛄,1f6c4
🥖,1f956
⚖️,2696 fe0f
🩰,1fa70
🎈,1f388
🗳️,1f5f3 fe0f
🍌,1f34c
🪕,1fa95
🏦,1f3e6
📊,1f4ca
💈,1f488
⚾,26be
🧺,1f9fa
🏀,1f3c0
🦇,1f987
🛁,1f6c1
🔋,1f50b
🏖️,1f3d6 fe0f
😁,1f601
🫘,1fad8
🐻,1f43b
💓,1f493
🦫,1f9ab
🛏️,1f6cf fe0f
🍺,1f37a
🪲,1fab2
🔔,1f514
🫑,1fad1
🔕,1f515
🛎️,1f6ce fe0f
🍱,1f371
🧃,1f9c3
🚲,1f6b2
👙,1f459
🧢,1f9e2
☣️,2623 fe0f
🐦,1f426
🎂,1f382
🦬,1f9ac
🫦,1fae6
🐈‍⬛,1f408 200d 2b1b
⚫,26ab
🏴,1f3f4
🖤,1f5a4
⬛,2b1b
◼️,25fc fe0f
◾,25fe
✒️,2712 fe0f
▪️,25aa fe0f
🔲,1f532
🌼,1f33c
